Name,Rkiname,Type,State,Ags,Lat,Long,Pop
Flensburg,SK Flensburg,Stadt,Schleswig-Holstein,01001,54.785119,9.4323687,90164
Kiel,SK Kiel,Stadt,Schleswig-Holstein,01002,54.329759,10.130283,246794
Lübeck,SK Lübeck,Stadt,Schleswig-Holstein,01003,53.875705,10.723051,216530
Neumünster,SK Neumünster,Stadt,Schleswig-Holstein,01004,54.088042,9.9835962,80196
Dithmarschen,LK Dithmarschen,Kreis,Schleswig-Holstein,01051,54.133993,9.1096773,133193
Herzogtum Lauenburg,LK Herzogtum Lauenburg,Kreis,Schleswig-Holstein,01053,53.596434,10.608184,198019
Nordfriesland,LK Nordfriesland,Kreis,Schleswig-Holstein,01054,54.611088,9.0649543,165951
Ostholstein,LK Ostholstein,Kreis,Schleswig-Holstein,01055,54.211782,10.86662,200539
Pinneberg,LK Pinneberg,Kreis,Schleswig-Holstein,01056,53.723182,9.7371433,316103
Plön,LK Plön,Kreis,Schleswig-Holstein,01057,54.245729,10.363199,128686
Rendsburg-Eckernförde,LK Rendsburg-Eckernförde,Kreis,Schleswig-Holstein,01058,54.29215,9.7793856,274098
Schleswig-Flensburg,LK Schleswig-Flensburg,Kreis,Schleswig-Holstein,01059,54.616026,9.5509886,201156
Segeberg,LK Segeberg,Kreis,Schleswig-Holstein,01060,53.926779,10.142052,277175
Steinburg,LK Steinburg,Kreis,Schleswig-Holstein,01061,53.930387,9.5111518,131013
Stormarn,LK Stormarn,Kreis,Schleswig-Holstein,01062,53.728387,10.336683,244156
Hamburg,SK Hamburg,Stadt,Hamburg,02000,53.553616,10.027361,1847253
Braunschweig,SK Braunschweig,Stadt,Niedersachsen,03101,52.280839,10.526347,249406
Salzgitter,SK Salzgitter,Stadt,Niedersachsen,03102,52.129678,10.370679,104291
Wolfsburg,SK Wolfsburg,Stadt,Niedersachsen,03103,52.411138,10.785036,124371
Gifhorn,LK Gifhorn,Landkreis,Niedersachsen,03151,52.586249,10.607222,176523
