Ags,Rkiname,Inzidenz,delta_1,delta_1_p,Lat,Long
01001,SK Flensburg,74.1,0.1,0.2,54.785119,9.4323687
01002,SK Kiel,66.5,0.3,0.6,54.329759,10.130283
01003,SK Lübeck,51.6,1,1.9,53.875705,10.723051
01004,SK Neumünster,73.2,1.5,3,54.088042,9.9835962
01051,LK Dithmarschen,42.1,0.7,2,54.133993,9.1096773
01053,LK Herzogtum Lauenburg,88.1,1,1.3,53.596434,10.608184
01054,LK Nordfriesland,32,0.6,2.1,54.611088,9.0649543
01055,LK Ostholstein,50.2,0.3,0.7,54.211782,10.86662
01056,LK Pinneberg,79.8,1.3,1.8,53.723182,9.7371433
01057,LK Plön,30.3,0.1,0.4,54.245729,10.363199
01058,LK Rendsburg-Eckernförde,43.6,0.1,0.3,54.29215,9.7793856
01059,LK Schleswig-Flensburg,40.6,0.1,0.3,54.616026,9.5509886
01060,LK Segeberg,82.5,1.5,2,53.926779,10.142052
01061,LK Steinburg,62.1,0.3,0.8,53.930387,9.5111518
01062,LK Stormarn,80.2,0.9,1.1,53.728387,10.336683
02000,SK Hamburg,101,16.8,17,53.553616,10.027361
03101,SK Braunschweig,84.6,2.1,2.6,52.280839,10.526347
03102,SK Salzgitter,197,32.4,17.7,52.129678,10.370679
03103,SK Wolfsburg,112.2,15.3,15.5,52.411138,10.785036
03151,LK Gifhorn,100.8,4.4,5,52.586249,10.607222
03153,LK Goslar,53,1.7,3.8,51.876084,10.401684
03154,LK Helmstedt,73.7,1.6,2.1,52.260419,10.894027
03155,LK Northeim,54.2,4.6,9.5,51.74463,9.8518887
03157,LK Peine,136,12.3,11,52.308055,10.256622
03158,LK Wolfenbüttel,80.7,1.6,1.6,52.137751,10.648905
03159,LK Göttingen,60.5,1.6,2.8,51.500939,9.9321137
03241,Region Hannover,118.4,8.8,7.7,52.424603,9.720613
03251,LK Diepholz,74.7,11.9,17.8,52.730353,8.7019864
03252,LK Hameln-Pyrmont,77.7,9.2,12.3,52.094196,9.3932046
03254,LK Hildesheim,77.9,4.8,6.5,52.091993,9.9453013
03255,LK Holzminden,69.6,2.3,3.7,51.881129,9.5553908
03256,LK Nienburg (Weser),72.6,0.6,0.7,52.611395,9.113799
03257,LK Schaumburg,99,5.6,7,52.292013,9.2066986
03351,LK Celle,94.4,6.5,8.2,52.719791,10.10555
03352,LK Cuxhaven,70.7,3.9,6.4,53.618225,8.8035629
