Ags,Rkiname,Inzidenz_mean,Inzidenz_quart,Inzidenz_quant_90,delta_1_mean,delta_1_med,delta_1_quart,delta_1_quant_90,delta_2_mean,delta_2_med,delta_2_quart,delta_2_quant_90,delta_3_mean,delta_3_med,delta_3_quart,delta_3_quant_90,delta_5_mean,delta_5_med,delta_5_quart,delta_5_quant_90,delta_7_mean,delta_7_med,delta_7_quart,delta_7_quant_90,delta_I4_mean,delta_I4_med,delta_I4_quart,delta_I4_quant_90
01001,SK Flensburg,74.1,96.5,104.3,0.2,0,0,0,0.2,0,0,0,0.2,0,0,0,0.2,0,0,0,0.2,0,0,0,0.2,0,0,0
01002,SK Kiel,66.5,83.7,87.9,0.6,0,0.7,1.6,0.8,0.5,1,2.1,0.9,0.6,1.1,2.1,1.1,0.7,1.5,2.3,1.1,0.8,1.6,2.5,1.4,0.9,1.9,2.8
01003,SK Lübeck,51.6,61.5,68.7,1.9,0,1.7,6.7,2.1,1,1.9,6.7,2.3,1,2.3,6.7,2.4,1.3,2.7,6.4,2.2,1.1,2.8,5.7,2.3,1.3,2.8,5.1
01004,SK Neumünster,73.2,84.8,100.8,3,0,0.6,5.9,3.7,0,1.9,8,4.3,0,2.5,10.6,4.5,1.3,2.9,8.8,4.6,1.5,3.3,9.4,5.2,1.5,3.1,13
01051,LK Dithmarschen,42.1,53.9,69,2,0,0,1.2,2.1,0,0,2.1,2.1,0,0,2.3,2.2,0,0,2.6,2.3,0,0,2.9,2.4,0,0,2.1
01053,LK Herzogtum Lauenburg,88.1,99,127.4,1.3,0,0.5,2.2,1.9,0,0.7,2.5,1.9,0.4,0.8,2.5,2.2,0.5,1.2,2.5,2.3,0.6,1.3,2.5,2.5,0.5,1.5,2.6
01054,LK Nordfriesland,32,37.5,41,2.1,0,3.1,5.7,3.1,2.5,4.9,6.7,3.4,2.8,4.7,6.8,3.6,2.8,5.5,6.8,3.7,2.7,5.4,7.2,3.5,2.6,4.6,6.5
01055,LK Ostholstein,50.2,61.8,78.6,0.7,0,0.8,1.8,0.9,0,1.4,2.1,1,0,1.4,2.2,1,0,1.4,2.2,1,0,1.4,2.3,1.2,0.6,1.6,2.5
01056,LK Pinneberg,79.8,97.5,109.5,1.8,1.1,2,3.1,2.4,1.6,3,4.5,2.7,1.8,3.3,5.2,2.8,1.9,3.5,5.3,2.9,1.9,3.6,5.1,3,2.2,3.4,5
01057,LK Plön,30.3,38.1,44.3,0.4,0,0,0,0.7,0,0,0,0.7,0,0,0,0.8,0,0,0.8,0.9,0,0,2.2,1.3,0,0,3.4
01058,LK Rendsburg-Eckernförde,43.6,49.5,54.4,0.3,0,0,0.9,0.4,0,0.6,1,0.4,0,0.7,1,0.4,0,0.7,1.1,0.4,0,0.7,1.1,0.4,0,0.7,1.1
01059,LK Schleswig-Flensburg,40.6,47.8,57.6,0.3,0,0,0.9,0.4,0,0,1.3,0.4,0,0,1.4,0.4,0,0,1.4,0.5,0,1,1.5,1.2,0,1.4,5
01060,LK Segeberg,82.5,101.8,122.4,2,1.4,2.3,4.3,2.6,2.2,3.1,5.1,2.7,2.1,3.3,5.3,2.6,1.9,3.3,5.3,2.4,2.1,3.1,4.8,2.4,1.7,2.9,4.7
01061,LK Steinburg,62.1,84.4,91.5,0.8,0,0,3.5,1.3,0,1.3,4.9,1.6,0,1.8,5.4,2,0.8,2.3,5.5,2.2,0.9,3.3,5.9,2.7,0.9,3.8,6.9
01062,LK Stormarn,80.2,91.9,95.8,1.1,0.6,1.2,1.9,1.4,1,1.7,2.2,1.6,1.3,1.8,2.7,1.8,1.3,1.9,2.9,1.9,1.3,1.9,3.4,2.1,1.6,2.2,3.8
